route,bird,flight,date,start_time,rel_lat,rel_lon,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,precipitation,shortwave_radiation,surface_pressure
R3,A_D96,01,2011-05-25,10:17:06,51.79204,-1.17138,96,0,49,95,17.0,175,34.6,13.2,0.0,577.0,1010.2
R3,A_D96,02,2011-05-31,10:21:29,51.79213,-1.17175,31,30,7,0,19.4,312,38.2,10.6,0.0,553.0,1004.7
R3,A_D96,03,2011-05-31,16:10:09,51.79221,-1.17161,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_D96,04,2011-06-02,11:50:35,51.79211,-1.1717,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_D96,05,2011-06-03,10:38:00,51.79216,-1.17166,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_D96,06,2011-06-08,09:18:05,51.79208,-1.17164,97,96,12,0,20.6,224,41.0,12.2,0.0,257.0,989.3
R3,B_A31,01,2011-05-09,09:10:05,51.79206,-1.17164,36,35,4,0,20.7,188,45.0,12.9,0.0,311.0,1006.4
R3,B_A31,02,2011-05-13,09:59:18,51.79211,-1.17177,41,2,0,40,10.5,243,23.4,11.1,0.0,413.0,1006.9
R3,B_A31,03,2011-05-19,14:11:36,51.79212,-1.17175,98,98,12,0,4.6,231,16.2,15.0,0.0,436.0,1004.3
R3,B_A31,04,2011-05-24,09:10:06,51.79212,-1.17177,44,14,0,34,23.4,269,45.4,10.6,0.0,424.0,1010.2
R3,B_A31,05,2011-06-01,12:07:54,51.7921,-1.17173,100,100,0,86,13.4,250,31.0,15.3,0.0,569.0,1015.8
R3,B_A31,06,2011-06-07,10:24:36,51.79211,-1.17163,95,93,49,0,19.5,205,37.1,13.4,0.0,513.0,989.0
R3,B_A34,01,2011-05-09,08:52:05,51.79205,-1.17167,62,60,4,0,20.9,181,39.2,11.7,0.0,217.0,1006.0
R3,B_A34,02,2011-05-13,10:05:35,51.79213,-1.17175,61,51,0,25,12.9,240,27.7,12.6,0.0,564.0,1006.9
R3,B_A34,03,2011-05-19,13:51:59,51.79211,-1.17181,100,100,0,0,3.9,248,16.2,14.6,0.0,523.0,1004.5
R3,B_A34,04,2011-05-24,10:20:23,51.79212,-1.17176,75,57,0,36,26.3,274,48.6,12.2,0.0,596.0,1010.9
R3,B_A34,05,2011-06-01,12:48:35,51.79213,-1.1717,100,100,0,86,13.4,250,31.0,15.3,0.0,569.0,1015.8
R3,B_A34,06,2011-06-08,08:42:24,51.79197,-1.17182,99,99,17,0,22.2,222,41.8,11.2,0.0,197.0,989.1
R3,B_D04,01,2011-05-09,09:41:59,51.79203,-1.17169,36,35,4,0,20.7,188,45.0,12.9,0.0,311.0,1006.4
R3,B_D04,02,2011-05-13,09:34:01,51.79207,-1.17185,41,2,0,40,10.5,243,23.4,11.1,0.0,413.0,1006.9
R3,B_D04,03,2011-05-19,12:42:05,51.79211,-1.17171,100,100,0,0,3.6,270,16.2,14.0,0.0,538.0,1004.5
R3,B_D04,04,2011-05-24,09:28:35,51.7921,-1.17177,44,14,0,34,23.4,269,45.4,10.6,0.0,424.0,1010.2
R3,B_D04,05,2011-06-01,12:41:35,51.79214,-1.17179,100,100,0,86,13.4,250,31.0,15.3,0.0,569.0,1015.8
R3,B_D04,06,2011-06-07,10:10:36,51.79215,-1.17169,95,93,49,0,19.5,205,37.1,13.4,0.0,513.0,989.0
R3,B_D12,01,2011-05-09,09:51:35,51.79202,-1.17166,36,35,4,0,20.7,188,45.0,12.9,0.0,311.0,1006.4
R3,B_D12,02,2011-05-13,10:26:05,51.79217,-1.17178,61,51,0,25,12.9,240,27.7,12.6,0.0,564.0,1006.9
R3,B_D12,03,2011-05-19,12:23:23,51.79217,-1.17176,100,100,0,0,3.6,270,16.2,14.0,0.0,538.0,1004.5
R3,B_D12,04,2011-05-24,11:07:35,51.79213,-1.17177,100,100,0,40,23.1,274,51.8,13.3,0.0,646.0,1011.4
R3,B_D12,05,2011-06-01,12:35:29,51.79212,-1.17169,100,100,0,86,13.4,250,31.0,15.3,0.0,569.0,1015.8
R3,B_D12,06,2011-06-08,08:54:06,51.79218,-1.17175,99,99,17,0,22.2,222,41.8,11.2,0.0,197.0,989.1
R3,B_D86,01,2011-05-09,09:31:05,51.7921,-1.17171,36,35,4,0,20.7,188,45.0,12.9,0.0,311.0,1006.4
R3,B_D86,02,2011-05-13,09:23:23,51.79209,-1.17179,41,2,0,40,10.5,243,23.4,11.1,0.0,413.0,1006.9
R3,B_D86,03,2011-05-19,13:22:54,51.79215,-1.17174,100,100,0,0,3.9,248,16.2,14.6,0.0,523.0,1004.5
R3,B_D86,04,2011-05-24,09:47:35,51.79211,-1.17176,44,14,0,34,23.4,269,45.4,10.6,0.0,424.0,1010.2
R3,B_D86,05,2011-06-01,12:14:18,51.79208,-1.17167,100,100,0,86,13.4,250,31.0,15.3,0.0,569.0,1015.8
R3,B_D86,06,2011-06-08,09:05:37,51.79214,-1.17169,97,96,12,0,20.6,224,41.0,12.2,0.0,257.0,989.3
R3,B_D90,01,2011-05-09,10:09:59,51.79205,-1.17164,32,27,20,0,20.8,189,41.0,14.1,0.0,460.0,1006.4
R3,B_D90,02,2011-05-13,09:40:44,51.79209,-1.1718,41,2,0,40,10.5,243,23.4,11.1,0.0,413.0,1006.9
R3,B_D90,03,2011-05-19,13:03:07,51.79218,-1.17177,100,100,0,0,3.9,248,16.2,14.6,0.0,523.0,1004.5
